Kp: 0.2
Ki: 0
Kd: 0
tau: 0.01
limMin: -0.8
limMax: 0.8
intLimMin: -0.25
intLimMax: 0.25
setpoint: 222.721
t;error;out
0.0310211;-0.0102692;-0.00205383
0.062973;-0.0172424;-0.00344849
0.0954285;-0.0243073;-0.00486145
0.129456;-0.0318146;-0.00636292
0.164047;-0.0394287;-0.00788574
0.197189;-0.0467987;-0.00935974
0.230682;-0.054245;-0.010849
0.263718;-0.0616455;-0.0123291
0.298233;-0.0693054;-0.0138611
0.331406;-0.0767212;-0.0153442
0.364578;-0.0841064;-0.0168213
0.397934;-0.091507;-0.0183014
0.430939;-0.0988312;-0.0197662
0.46524;-0.106461;-0.0212921
0.496918;-0.11351;-0.022702
0.5354;-0.122101;-0.0244202
0.567612;-0.129257;-0.0258514
0.597458;-0.13591;-0.027182
0.627365;-0.142471;-0.0284943
0.659561;-0.149506;-0.0299011
0.692673;-0.156647;-0.0313293
0.724472;-0.163452;-0.0326904
0.758484;-0.17067;-0.0341339
0.79071;-0.177399;-0.0354797
0.822586;-0.183945;-0.0367889
0.853989;-0.190277;-0.0380554
0.88562;-0.196548;-0.0393097
0.917709;-0.202744;-0.0405487
0.949661;-0.208771;-0.0417542
0.980988;-0.214447;-0.0428894
1.01096;-0.219727;-0.0439453
1.04182;-0.224976;-0.0449951
1.073;-0.230042;-0.0460083
1.10464;-0.234955;-0.046991
1.13678;-0.239655;-0.0479309
1.16747;-0.243927;-0.0487854
1.19403;-0.247406;-0.0494812
1.21991;-0.250595;-0.050119
1.2451;-0.253525;-0.050705
1.27104;-0.256332;-0.0512665
1.29803;-0.258987;-0.0517975
1.32158;-0.261124;-0.0522247
1.34567;-0.263153;-0.0526306
1.37068;-0.265045;-0.053009
1.39551;-0.266678;-0.0533356
1.4205;-0.268082;-0.0536163
1.44521;-0.269226;-0.0538452
1.46986;-0.270126;-0.0540253
1.4937;-0.270706;-0.0541412
1.51805;-0.271088;-0.0542175
1.54269;-0.271225;-0.054245
1.56755;-0.271103;-0.0542206
1.59222;-0.270737;-0.0541473
1.61665;-0.270096;-0.0540192
1.64029;-0.269226;-0.0538452
1.66458;-0.268036;-0.0536072
1.68805;-0.266647;-0.0533295
1.71121;-0.264984;-0.0529968
1.73407;-0.263092;-0.0526184
1.75778;-0.260925;-0.0521851
1.78111;-0.258545;-0.051709
1.80386;-0.255936;-0.0511871
1.82524;-0.25322;-0.0506439
1.84885;-0.249969;-0.0499939
1.87398;-0.246201;-0.0492401
1.89882;-0.242188;-0.0484375
1.92372;-0.237885;-0.0475769
1.94904;-0.233154;-0.0466309
1.97432;-0.228134;-0.0456268
1.99945;-0.222809;-0.0445618
2.02376;-0.217331;-0.0434662
2.04797;-0.211563;-0.0423126
2.07318;-0.205292;-0.0410584
2.09901;-0.198502;-0.0397003
2.12387;-0.191635;-0.038327
2.15025;-0.183945;-0.0367889
2.17584;-0.176193;-0.0352386
2.201;-0.168182;-0.0336365
2.22606;-0.159897;-0.0319794
2.25131;-0.151215;-0.0302429
2.27661;-0.142227;-0.0284454
2.3008;-0.133316;-0.0266632
2.32639;-0.123566;-0.0247131
2.35567;-0.111954;-0.0223907
2.38188;-0.101242;-0.0202484
2.40831;-0.0900574;-0.0180115
2.43428;-0.0787811;-0.0157562
2.46205;-0.0663452;-0.013269
2.48972;-0.0535126;-0.0107025
2.51477;-0.0416107;-0.00832214
2.54204;-0.0282593;-0.00565186
2.5687;-0.0149231;-0.00298462
2.59258;-0.00270081;-0.000540161
2.61598;0.0096283;0.00192566
2.63939;0.0222168;0.00444336
2.66386;0.035614;0.0071228
2.68863;0.0494537;0.00989075
2.71193;0.0626984;0.0125397
2.73546;0.0763702;0.015274
2.76244;0.0923462;0.0184692
2.79007;0.109039;0.0218079
2.81683;0.125565;0.0251129
2.84393;0.142517;0.0285034
2.87253;0.160858;0.0321716
2.8989;0.178085;0.0356171
2.92618;0.196152;0.0392303
2.95345;0.214691;0.0429382
2.98041;0.233124;0.0466248
3.00943;0.253296;0.0506592
3.03638;0.272369;0.0544739
3.06487;0.292862;0.0585724
3.09317;0.313507;0.0627014
3.12074;0.333862;0.0667725
3.14882;0.35498;0.0709961
3.17905;0.378021;0.0756043
3.20761;0.400055;0.080011
3.23729;0.423233;0.0846466
3.26556;0.445587;0.0891174
3.29459;0.468842;0.0937683
3.32523;0.493713;0.0987427
3.35565;0.518692;0.103738
3.38599;0.543869;0.108774
3.41818;0.570938;0.114188
3.44962;0.597626;0.119525
3.48137;0.624893;0.124979
3.51288;0.652222;0.130444
3.54442;0.679901;0.13598
3.57709;0.708817;0.141763
3.60945;0.737732;0.147546
