Kp: 0.4
Ki: 0
Kd: 0
tau: 0.01
limMin: -0.8
limMax: 0.8
intLimMin: -0.25
intLimMax: 0.25
setpoint: 219.191
t;error;out
5.74969;2.85349;0.8
5.78183;2.87183;0.8
5.8175;2.89166;0.8
5.8501;2.90929;0.8
5.88168;2.92593;0.8
5.91336;2.94211;0.8
5.94604;2.95834;0.8
5.97833;2.97382;0.8
6.01129;2.98914;0.8
6.04553;3.00453;0.8
6.07629;3.01784;0.8
6.10764;3.03096;0.8
6.13962;3.04384;0.8
6.17194;3.0564;0.8
6.20499;3.06866;0.8
6.2366;3.07988;0.8
6.2681;3.09061;0.8
6.29874;3.10054;0.8
6.33112;3.11055;0.8
6.36371;3.12006;0.8
6.39719;3.12927;0.8
6.42859;3.13745;0.8
6.46027;3.14511;0.8
6.49344;3.15268;0.8
6.5249;3.15932;0.8
6.55728;3.16559;0.8
6.5896;3.17131;0.8
6.62125;3.17644;0.8
6.65283;3.18098;0.8
6.68427;3.18503;0.8
6.70578;3.18753;0.8
6.73972;3.19099;0.8
6.77335;3.19379;0.8
6.81042;3.19624;0.8
6.84863;3.19801;0.8
6.8866;3.19899;0.8
6.92242;3.19936;0.8
6.95938;3.19897;0.8
6.99466;3.19801;0.8
7.0293;3.19641;0.8
7.06589;3.19414;0.8
7.10059;3.19127;0.8
7.13773;3.18762;0.8
7.17331;3.18347;0.8
7.20663;3.17899;0.8
7.24033;3.1739;0.8
7.27271;3.16849;0.8
7.3064;3.16229;0.8
7.34726;3.15404;0.8
7.41595;3.13809;0.8
7.51645;3.11058;0.8
7.56671;3.09503;0.8
7.61694;3.07832;0.8
7.71747;3.04143;0.8
7.79013;3.01205;0.8
7.81909;2.99979;0.8
7.84033;2.99062;0.8
7.87625;2.97464;0.8
7.91464;2.95697;0.8
7.94714;2.94151;0.8
7.98206;2.92432;0.8
8.0148;2.90775;0.8
8.05109;2.88878;0.8
8.08505;2.87054;0.8
8.11972;2.85146;0.8
8.15317;2.83255;0.8
8.18628;2.81335;0.8
8.22101;2.79276;0.8
8.25375;2.77289;0.8
8.28781;2.75177;0.8
8.32272;2.72974;0.8
8.3566;2.70784;0.8
8.39185;2.68457;0.8
8.42487;2.66238;0.8
8.45633;2.64084;0.8
8.48877;2.61824;0.8
8.50967;2.60341;0.8
8.53119;2.588;0.8
8.56726;2.56181;0.8
8.6012;2.53679;0.8
8.63339;2.51265;0.8
8.66696;2.48712;0.8
8.69907;2.46233;0.8
8.73291;2.43582;0.8
8.7655;2.40997;0.8
8.80087;2.38148;0.8
8.83704;2.3519;0.8
8.87067;2.32404;0.8
8.90268;2.29715;0.8
8.93488;2.26981;0.8
