Kp: 0.4
Ki: 0
Kd: 0
tau: 0.01
limMin: -0.8
limMax: 0.8
intLimMin: -0.25
intLimMax: 0.25
setpoint: 219.191
t;error;out
28.998;3.51532;0.8
29.0313;3.51318;0.8
29.0638;3.51056;0.8
29.1016;3.50671;0.8
29.1332;3.50296;0.8
29.1988;3.49315;0.8
29.2224;3.48914;0.8
29.2561;3.48288;0.8
29.2881;3.47649;0.8
29.3194;3.46959;0.8
29.3488;3.46275;0.8
29.3808;3.45468;0.8
29.4137;3.44586;0.8
29.4463;3.43654;0.8
29.4783;3.42685;0.8
29.5112;3.41641;0.8
29.5452;3.40498;0.8
29.5788;3.39316;0.8
29.6112;3.38116;0.8
29.6441;3.36848;0.8
29.6774;3.35515;0.8
29.7118;3.34074;0.8
29.7443;3.32658;0.8
29.7792;3.31091;0.8
29.8188;3.29233;0.8
29.8523;3.27608;0.8
29.8829;3.26073;0.8
29.9134;3.24501;0.8
29.9437;3.22903;0.8
29.9752;3.21194;0.8
30.0064;3.19461;0.8
30.0374;3.17693;0.8
30.0691;3.15842;0.8
30.0994;3.14035;0.8
30.1303;3.12144;0.8
30.1624;3.10147;0.8
30.1948;3.08075;0.8
30.2277;3.0593;0.8
30.26;3.03781;0.8
30.2929;3.01547;0.8
30.326;2.99254;0.8
30.3598;2.96867;0.8
30.3937;2.94432;0.8
30.4253;2.92119;0.8
30.461;2.89461;0.8
30.4945;2.86916;0.8
30.5284;2.84297;0.8
30.5625;2.81621;0.8
30.5973;2.7885;0.8
30.632;2.76041;0.8
30.6682;2.73061;0.8
30.7014;2.70288;0.8
30.7379;2.67198;0.8
30.774;2.6409;0.8
30.8102;2.60928;0.8
30.8462;2.57747;0.8
30.882;2.54532;0.8
30.9161;2.51443;0.8
30.9493;2.48396;0.8
30.983;2.45273;0.8
31.0157;2.42201;0.8
31.0483;2.39117;0.8
31.082;2.35896;0.8
31.1138;2.32814;0.8
31.1498;2.29292;0.8
31.1719;2.27106;0.8
31.2107;2.23244;0.8
31.2474;2.19553;0.8
31.2816;2.16078;0.8
31.3129;2.12883;0.8
31.3448;2.09599;0.8
31.3749;2.06468;0.8
31.4073;2.03078;0.8
31.4375;1.99898;0.799591
31.4691;1.96538;0.786151
31.5008;1.93138;0.772552
31.5323;1.89745;0.758978
31.5623;1.86485;0.745941
31.593;1.83119;0.732477
31.6224;1.79887;0.71955
31.6532;1.76485;0.705939
31.6836;1.73093;0.692371
31.7151;1.69572;0.67829
31.7458;1.66118;0.664471
31.776;1.62697;0.650787
31.8066;1.59209;0.636835
31.8456;1.54745;0.618982
31.8793;1.50858;0.60343
31.9104;1.47261;0.589044
31.9406;1.43753;0.575012
31.9716;1.40137;0.560547
32.0025;1.36505;0.546021
32.033;1.32925;0.531702
32.0642;1.29242;0.516968
32.0955;1.25536;0.502142
32.128;1.2168;0.486719
32.162;1.17627;0.470508
32.1953;1.13655;0.45462
32.2278;1.09764;0.439056
32.2609;1.05807;0.42323
32.2921;1.02074;0.408295
32.3229;0.983719;0.393488
32.3528;0.947922;0.379169
32.3845;0.910004;0.364001
32.4177;0.870193;0.348077
32.4488;0.832855;0.333142
32.4843;0.790436;0.316174
32.5168;0.751694;0.300678
32.5485;0.713974;0.28559
32.5807;0.675781;0.270313
32.613;0.637711;0.255084
32.6443;0.600937;0.240375
32.6742;0.566055;0.226422
32.7051;0.530045;0.212018
32.736;0.4944;0.19776
32.766;0.459976;0.18399
32.797;0.424637;0.169855
32.8271;0.39064;0.156256
32.8574;0.356659;0.142664
32.8877;0.322891;0.129157
32.919;0.288437;0.115375
32.9507;0.254013;0.101605
32.981;0.221237;0.0884949
33.0121;0.188263;0.0753052
33.0444;0.154358;0.0617432
33.0766;0.121109;0.0484436
33.1084;0.0887299;0.0354919
33.1308;0.0661163;0.0264465
33.1627;0.0344543;0.0137817
33.1944;0.00357056;0.00142822
33.227;-0.0275574;-0.0110229
33.2595;-0.0580292;-0.0232117
33.2939;-0.0895996;-0.0358398
