Kp:	0.2			
Ki	0.0553574		4607	
Kd	0.531094			
tau	0.025			
limMin	0			
limMax	0.625			
intLimMin	0.25			
intLimMax	0.5			
holdSpeed	245			
T	0.05			
currentLimMax	0.75			
currentLimMin0.25				
setpoint	245			
t;error;speed;out;setpoint
0.2;12.5069;232.493;0.75;245
0.3;12.4914;232.509;0.75;245
0.4;12.4655;232.534;0.75;245
0.6;12.4445;232.555;0.75;245
0.7;12.4401;232.56;0.75;245
0.8;12.4281;232.572;0.75;245
0.9;12.4079;232.592;0.75;245
1.1;12.3931;232.607;0.75;245
