Airframe: Cessna_CitationX
Kp: 0.35
Ki: 0
Kd: 0
tau: 0.025
limMin: 0.15
limMax: 0.92
intLimMin: 0.05
intLimMax: 0.5
holdSpeed: 240
T: 0.025
setpoint: 240
t;error;speed;out;setpoint;Int;Diff
0.162598;40.0964;199.904;0.92;240;0.05;0
0.285522;40.2335;199.767;0.92;240;0.05;0
0.411133;40.3732;199.627;0.92;240;0.05;0
0.535034;40.5111;199.489;0.92;240;0.05;0
0.659424;40.6493;199.351;0.92;240;0.05;0
0.786621;40.7906;199.209;0.92;240;0.05;0
0.914062;40.9319;199.068;0.92;240;0.05;0
1.04224;41.0738;198.926;0.92;240;0.05;0
1.16785;41.2123;198.788;0.92;240;0.05;0
1.29309;41.3496;198.65;0.92;240;0.05;0
1.40515;41.4715;198.529;0.92;240;0.05;0
1.5387;41.6149;198.385;0.92;240;0.05;0
1.66821;41.7516;198.248;0.92;240;0.05;0
1.7948;41.8825;198.117;0.92;240;0.05;0
1.9209;42.0098;197.99;0.92;240;0.05;0
2.04553;42.1321;197.868;0.92;240;0.05;0
2.17114;42.2515;197.748;0.92;240;0.05;0
2.29663;42.3663;197.634;0.92;240;0.05;0
2.40466;42.4615;197.539;0.92;240;0.05;0
2.52771;42.565;197.435;0.92;240;0.05;0
2.65149;42.6634;197.337;0.92;240;0.05;0
2.7738;42.7548;197.245;0.92;240;0.05;0
2.89685;42.8402;197.16;0.92;240;0.05;0
3.02209;42.92;197.08;0.92;240;0.05;0
3.146;42.9914;197.009;0.92;240;0.05;0
3.27002;43.0547;196.945;0.92;240;0.05;0
3.3949;43.1095;196.89;0.92;240;0.05;0
3.49536;43.1469;196.853;0.92;240;0.05;0
3.6189;43.1839;196.816;0.92;240;0.05;0
3.74231;43.2106;196.789;0.92;240;0.05;0
3.86499;43.2263;196.774;0.92;240;0.05;0
3.99097;43.2305;196.769;0.92;240;0.05;0
4.1145;43.2224;196.778;0.92;240;0.05;0
4.23779;43.2014;196.799;0.92;240;0.05;0
4.36267;43.1665;196.834;0.92;240;0.05;0
4.49377;43.1143;196.886;0.92;240;0.05;0
4.62549;43.0453;196.955;0.92;240;0.05;0
4.73035;42.9778;197.022;0.92;240;0.05;0
4.85217;42.8854;197.115;0.92;240;0.05;0
4.97595;42.7751;197.225;0.92;240;0.05;0
5.10022;42.6474;197.353;0.92;240;0.05;0
5.2229;42.5041;197.496;0.92;240;0.05;0
5.34717;42.3413;197.659;0.92;240;0.05;0
5.4801;42.1468;197.853;0.92;240;0.05;0
5.604;41.9467;198.053;0.92;240;0.05;0
5.72937;41.7253;198.275;0.92;240;0.05;0
5.85168;41.4905;198.51;0.92;240;0.05;0
5.97632;41.2323;198.768;0.92;240;0.05;0
6.09875;40.9603;199.04;0.92;240;0.05;0
6.22388;40.6626;199.337;0.92;240;0.05;0
6.3479;40.3489;199.651;0.92;240;0.05;0
6.47327;40.0128;199.987;0.92;240;0.05;0
6.59814;39.6591;200.341;0.92;240;0.05;0
6.72168;39.2909;200.709;0.92;240;0.05;0
6.84717;38.8985;201.101;0.92;240;0.05;0
6.97522;38.48;201.52;0.92;240;0.05;0
7.10193;38.0472;201.953;0.92;240;0.05;0
7.22815;37.5992;202.401;0.92;240;0.05;0
7.36023;37.1128;202.887;0.92;240;0.05;0
7.49182;36.6102;203.39;0.92;240;0.05;0
7.61938;36.1067;203.893;0.92;240;0.05;0
7.75098;35.5723;204.428;0.92;240;0.05;0
7.88403;35.0155;204.985;0.92;240;0.05;0
7.98462;34.5854;205.415;0.92;240;0.05;0
8.11633;34.0101;205.99;0.92;240;0.05;0
8.21692;33.5626;206.437;0.92;240;0.05;0
8.34912;32.9646;207.035;0.92;240;0.05;0
8.48096;32.3589;207.641;0.92;240;0.05;0
8.60693;31.773;208.227;0.92;240;0.05;0
8.73279;31.1825;208.817;0.92;240;0.05;0
8.85779;30.5909;209.409;0.92;240;0.05;0
8.98315;29.9947;210.005;0.92;240;0.05;0
9.11047;29.3869;210.613;0.92;240;0.05;0
9.23474;28.7929;211.207;0.92;240;0.05;0
9.36121;28.1887;211.811;0.92;240;0.05;0
9.46362;27.6993;212.301;0.92;240;0.05;0
9.56934;27.1955;212.804;0.92;240;0.05;0
9.69739;26.5878;213.412;0.92;240;0.05;0
9.79846;26.1104;213.89;0.92;240;0.05;0
9.89917;25.6369;214.363;0.92;240;0.05;0
10.0312;25.0198;214.98;0.92;240;0.05;0
10.1317;24.5532;215.447;0.92;240;0.05;0
10.2335;24.0841;215.916;0.92;240;0.05;0
10.3602;23.5042;216.496;0.92;240;0.05;0
10.4847;22.94;217.06;0.92;240;0.05;0
10.611;22.3737;217.626;0.92;240;0.05;0
10.7357;21.819;218.181;0.92;240;0.05;0
10.8627;21.2606;218.739;0.92;240;0.05;0
10.9877;20.7164;219.284;0.92;240;0.05;0
11.1123;20.1789;219.821;0.92;240;0.05;0
11.2374;19.6456;220.354;0.92;240;0.05;0
11.3623;19.118;220.882;0.92;240;0.05;0
11.4869;18.5975;221.403;0.92;240;0.05;0
11.5881;18.1785;221.821;0.92;240;0.05;0
11.7136;17.664;222.336;0.92;240;0.05;0
11.8422;17.1418;222.858;0.92;240;0.05;0
11.9719;16.6205;223.379;0.92;240;0.05;0
12.0725;16.2197;223.78;0.92;240;0.05;0
12.1995;15.7184;224.282;0.92;240;0.05;0
12.2997;15.3257;224.674;0.92;240;0.05;0
12.428;14.8273;225.173;0.92;240;0.05;0
12.5537;14.3426;225.657;0.92;240;0.05;0
12.6797;13.8612;226.139;0.92;240;0.05;0
12.8041;13.3897;226.61;0.92;240;0.05;0
12.9279;12.9237;227.076;0.92;240;0.05;0
13.0552;12.4479;227.552;0.92;240;0.05;0
13.1809;11.9806;228.019;0.92;240;0.05;0
13.3065;11.517;228.483;0.92;240;0.05;0
13.4351;11.0453;228.955;0.92;240;0.05;0
13.5662;10.5671;229.433;0.92;240;0.05;0
13.6921;10.1099;229.89;0.92;240;0.05;0
13.8174;9.65717;230.343;0.92;240;0.05;0
13.9447;9.19928;230.801;0.92;240;0.05;0
14.0704;8.7485;231.251;0.92;240;0.05;0
14.1985;8.29153;231.708;0.92;240;0.05;0
14.3242;7.84358;232.156;0.92;240;0.05;0
14.4515;7.39149;232.609;0.92;240;0.05;0
14.5803;6.93498;233.065;0.92;240;0.05;0
14.7052;6.49339;233.507;0.92;240;0.05;0
14.8297;6.05402;233.946;0.92;240;0.05;0
14.9546;5.61401;234.386;0.92;240;0.05;0
15.0802;5.17177;234.828;0.92;240;0.05;0
15.2074;4.72411;235.276;0.92;240;0.05;0
15.3369;4.26889;235.731;0.92;240;0.05;0
15.4646;3.82018;236.18;0.92;240;0.05;0
15.5974;3.35303;236.647;0.92;240;0.05;0
15.7238;2.90903;237.091;0.92;240;0.05;0
15.8485;2.47023;237.53;0.914581;240;0.05;0
15.9749;2.026;237.974;0.7591;240;0.05;0
16.1;1.58545;238.415;0.604907;240;0.05;0
16.226;1.14206;238.858;0.449721;240;0.05;0
16.3516;0.70105;239.299;0.295367;240;0.05;0
16.453;0.347656;239.652;0.17168;240;0.05;0
16.5546;-0.00253296;240.003;0.15;240;0.05;0
16.6547;-0.341888;240.342;0.15;240;0.05;0
16.7554;-0.675552;240.676;0.15;240;0.05;0
16.8575;-1.00366;241.004;0.15;240;0.05;0
16.9633;-1.33116;241.331;0.15;240;0.05;0
17.0653;-1.63246;241.632;0.15;240;0.05;0
17.167;-1.91756;241.918;0.15;240;0.05;0
17.27;-2.18893;242.189;0.15;240;0.05;0
17.3866;-2.47475;242.475;0.15;240;0.05;0
17.4908;-2.70908;242.709;0.15;240;0.05;0
17.5909;-2.91537;242.915;0.15;240;0.05;0
17.6937;-3.10789;243.108;0.15;240;0.05;0
17.8207;-3.31856;243.319;0.15;240;0.05;0
17.952;-3.50557;243.506;0.15;240;0.05;0
18.0791;-3.65718;243.657;0.15;240;0.05;0
18.2048;-3.78004;243.78;0.15;240;0.05;0
18.3328;-3.87831;243.878;0.15;240;0.05;0
18.4333;-3.9377;243.938;0.15;240;0.05;0
18.5353;-3.9825;243.982;0.15;240;0.05;0
18.6644;-4.01854;244.019;0.15;240;0.05;0
18.7919;-4.033;244.033;0.15;240;0.05;0
18.9202;-4.02806;244.028;0.15;240;0.05;0
19.0468;-4.00578;244.006;0.15;240;0.05;0
19.1737;-3.96747;243.967;0.15;240;0.05;0
19.3021;-3.91425;243.914;0.15;240;0.05;0
19.4287;-3.84869;243.849;0.15;240;0.05;0
19.5586;-3.76988;243.77;0.15;240;0.05;0
19.6652;-3.69719;243.697;0.15;240;0.05;0
19.7897;-3.60434;243.604;0.15;240;0.05;0
19.9221;-3.49715;243.497;0.15;240;0.05;0
20.0255;-3.40817;243.408;0.15;240;0.05;0
20.1531;-3.29294;243.293;0.15;240;0.05;0
20.2842;-3.16888;243.169;0.15;240;0.05;0
20.3856;-3.06979;243.07;0.15;240;0.05;0
20.4867;-2.96848;242.968;0.15;240;0.05;0
20.6207;-2.83121;242.831;0.15;240;0.05;0
20.7529;-2.69305;242.693;0.15;240;0.05;0
20.8853;-2.5524;242.552;0.15;240;0.05;0
20.9862;-2.44406;242.444;0.15;240;0.05;0
21.0876;-2.33441;242.334;0.15;240;0.05;0
21.1897;-2.22345;242.223;0.15;240;0.05;0
21.2917;-2.11224;242.112;0.15;240;0.05;0
21.3982;-1.99605;241.996;0.15;240;0.05;0
21.5295;-1.85268;241.853;0.15;240;0.05;0
21.6621;-1.7081;241.708;0.15;240;0.05;0
21.7902;-1.56927;241.569;0.15;240;0.05;0
21.9196;-1.42957;241.43;0.15;240;0.05;0
22.0461;-1.29381;241.294;0.15;240;0.05;0
22.1714;-1.16057;241.161;0.15;240;0.05;0
22.297;-1.02821;241.028;0.15;240;0.05;0
22.4221;-0.897247;240.897;0.15;240;0.05;0
22.5479;-0.767395;240.767;0.15;240;0.05;0
22.6725;-0.639984;240.64;0.15;240;0.05;0
22.7992;-0.511993;240.512;0.15;240;0.05;0
22.9241;-0.387466;240.387;0.15;240;0.05;0
23.0559;-0.257751;240.258;0.15;240;0.05;0
23.181;-0.136276;240.136;0.15;240;0.05;0
23.2819;-0.0395355;240.04;0.15;240;0.05;0
23.3823;0.0559082;239.944;0.15;240;0.05;0
23.4891;0.156219;239.844;0.15;240;0.05;0
23.6161;0.273697;239.726;0.15;240;0.05;0
23.7472;0.393311;239.607;0.187659;240;0.05;0
23.8743;0.507446;239.493;0.227606;240;0.05;0
24.0027;0.621017;239.379;0.267356;240;0.05;0
24.1288;0.73111;239.269;0.305888;240;0.05;0
24.2555;0.840012;239.16;0.344004;240;0.05;0
24.3827;0.947784;239.052;0.381725;240;0.05;0
24.5085;1.05281;238.947;0.418484;240;0.05;0
24.6515;1.17021;238.83;0.459574;240;0.05;0
24.7629;1.25987;238.74;0.490955;240;0.05;0
24.8711;1.34515;238.655;0.520804;240;0.05;0
24.9781;1.42781;238.572;0.549734;240;0.05;0
25.0858;1.50908;238.491;0.578178;240;0.05;0
25.2045;1.59634;238.404;0.60872;240;0.05;0
25.317;1.67661;238.323;0.636812;240;0.05;0
25.4193;1.74692;238.253;0.661421;240;0.05;0
25.5254;1.8175;238.182;0.686127;240;0.05;0
25.6531;1.89867;238.101;0.714533;240;0.05;0
25.7567;1.96144;238.039;0.736504;240;0.05;0
25.8816;2.03288;237.967;0.761509;240;0.05;0
26.0065;2.09973;237.9;0.784906;240;0.05;0
26.132;2.1619;237.838;0.806664;240;0.05;0
26.2572;2.21869;237.781;0.826541;240;0.05;0
26.381;2.26926;237.731;0.84424;240;0.05;0
26.5114;2.31644;237.684;0.860753;240;0.05;0
26.6115;2.34811;237.652;0.87184;240;0.05;0
26.7115;2.37579;237.624;0.881528;240;0.05;0
26.8121;2.39954;237.6;0.889838;240;0.05;0
26.9418;2.42389;237.576;0.898361;240;0.05;0
27.073;2.44148;237.559;0.904519;240;0.05;0
27.2;2.45146;237.549;0.908012;240;0.05;0
27.3235;2.45438;237.546;0.909032;240;0.05;0
27.4326;2.451;237.549;0.907851;240;0.05;0
27.5559;2.44038;237.56;0.904134;240;0.05;0
27.6893;2.42027;237.58;0.897096;240;0.05;0
27.7927;2.39825;237.602;0.889389;240;0.05;0
27.9167;2.36426;237.636;0.87749;240;0.05;0
28.0421;2.32161;237.678;0.862563;240;0.05;0
28.168;2.27071;237.729;0.844747;240;0.05;0
28.292;2.21312;237.787;0.824592;240;0.05;0
28.4197;2.14647;237.854;0.801264;240;0.05;0
28.547;2.07335;237.927;0.775672;240;0.05;0
28.6729;1.99512;238.005;0.748291;240;0.05;0
28.7986;1.91168;238.088;0.719089;240;0.05;0
28.9238;1.82368;238.176;0.68829;240;0.05;0
29.0487;1.73189;238.268;0.656161;240;0.05;0
29.173;1.63683;238.363;0.622889;240;0.05;0
29.2983;1.53801;238.462;0.588303;240;0.05;0
29.424;1.43663;238.563;0.552821;240;0.05;0
29.5569;1.32753;238.672;0.514635;240;0.05;0
29.6855;1.22104;238.779;0.477364;240;0.05;0
29.7872;1.13664;238.863;0.447825;240;0.05;0
29.9138;1.03232;238.968;0.411311;240;0.05;0
30.0381;0.931046;239.069;0.375866;240;0.05;0
30.1665;0.828659;239.171;0.340031;240;0.05;0
30.2924;0.731308;239.269;0.305958;240;0.05;0
30.421;0.635757;239.364;0.272515;240;0.05;0
30.5499;0.544754;239.455;0.240664;240;0.05;0
30.6774;0.460434;239.54;0.211152;240;0.05;0
30.7776;0.398529;239.601;0.189485;240;0.05;0
30.9098;0.323471;239.677;0.163215;240;0.05;0
31.0421;0.256516;239.743;0.15;240;0.05;0
31.1715;0.199738;239.8;0.15;240;0.05;0
31.2959;0.153702;239.846;0.15;240;0.05;0
31.4219;0.116135;239.884;0.15;240;0.05;0
31.5487;0.0875244;239.912;0.15;240;0.05;0
31.672;0.0691071;239.931;0.15;240;0.05;0
31.7728;0.0609894;239.939;0.15;240;0.05;0
31.8999;0.0595703;239.94;0.15;240;0.05;0
32.0248;0.0676117;239.932;0.15;240;0.05;0
32.1503;0.0848541;239.915;0.15;240;0.05;0
32.2755;0.111145;239.889;0.15;240;0.05;0
32.38;0.139908;239.86;0.15;240;0.05;0
32.5046;0.181854;239.818;0.15;240;0.05;0
32.6324;0.233139;239.767;0.15;240;0.05;0
32.7617;0.293228;239.707;0.15263;240;0.05;0
32.8945;0.363144;239.637;0.1771;240;0.05;0
33.024;0.438751;239.561;0.203563;240;0.05;0
33.1495;0.51857;239.481;0.231499;240;0.05;0
33.2734;0.603363;239.397;0.261177;240;0.05;0
33.401;0.696442;239.304;0.293755;240;0.05;0
33.5275;0.794022;239.206;0.327908;240;0.05;0
33.6514;0.894241;239.106;0.362984;240;0.05;0
33.7781;1.00116;238.999;0.400406;240;0.05;0
33.9039;1.11121;238.889;0.438922;240;0.05;0
34.0306;1.22531;238.775;0.478859;240;0.05;0
34.1598;1.34448;238.656;0.520569;240;0.05;0
34.2856;1.46286;238.537;0.562001;240;0.05;0
34.4117;1.58298;238.417;0.604042;240;0.05;0
34.5369;1.70335;238.297;0.646174;240;0.05;0
34.6626;1.8246;238.175;0.68861;240;0.05;0
34.7904;1.94756;238.052;0.731644;240;0.05;0
34.8965;2.04872;237.951;0.767052;240;0.05;0
34.9988;2.14545;237.855;0.800906;240;0.05;0
35.1017;2.24117;237.759;0.834408;240;0.05;0
35.2087;2.33882;237.661;0.868587;240;0.05;0
35.3419;2.45718;237.543;0.910014;240;0.05;0
35.446;2.5468;237.453;0.92;240;0.05;0
35.55;2.63338;237.367;0.92;240;0.05;0
35.6532;2.71608;237.284;0.92;240;0.05;0
35.7578;2.7961;237.204;0.92;240;0.05;0
35.8845;2.88774;237.112;0.92;240;0.05;0
36.0033;2.9668;237.033;0.92;240;0.05;0
36.1238;3.03951;236.96;0.92;240;0.05;0
36.2316;3.09766;236.902;0.92;240;0.05;0
36.3457;3.15154;236.848;0.92;240;0.05;0
36.4521;3.19415;236.806;0.92;240;0.05;0
36.5629;3.23013;236.77;0.92;240;0.05;0
36.6707;3.25661;236.743;0.92;240;0.05;0
36.7786;3.27431;236.726;0.92;240;0.05;0
36.8871;3.28304;236.717;0.92;240;0.05;0
36.9994;3.2821;236.718;0.92;240;0.05;0
37.1012;3.2722;236.728;0.92;240;0.05;0
37.2133;3.25122;236.749;0.92;240;0.05;0
37.3284;3.21857;236.781;0.92;240;0.05;0
37.4318;3.17932;236.821;0.92;240;0.05;0
37.5563;3.11989;236.88;0.92;240;0.05;0
37.6912;3.04004;236.96;0.92;240;0.05;0
37.8206;2.94859;237.051;0.92;240;0.05;0
37.9453;2.84665;237.153;0.92;240;0.05;0
38.071;2.73026;237.27;0.92;240;0.05;0
38.1958;2.60121;237.399;0.92;240;0.05;0
38.3253;2.45325;237.547;0.908636;240;0.05;0
38.4563;2.28947;237.711;0.851316;240;0.05;0
38.5875;2.11148;237.889;0.789018;240;0.05;0
38.7185;1.92097;238.079;0.722341;240;0.05;0
38.8494;1.71912;238.281;0.651691;240;0.05;0
38.9495;1.55859;238.441;0.595508;240;0.05;0
39.0498;1.39325;238.607;0.537637;240;0.05;0
39.1809;1.17293;238.827;0.460525;240;0.05;0
39.3073;0.958252;239.042;0.385388;240;0.05;0
39.4358;0.73996;239.26;0.308986;240;0.05;0
39.5635;0.525955;239.474;0.234084;240;0.05;0
39.691;0.3172;239.683;0.16102;240;0.05;0
39.8175;0.117676;239.882;0.15;240;0.05;0
39.9204;-0.0377045;240.038;0.15;240;0.05;0
40.0487;-0.220871;240.221;0.15;240;0.05;0
40.15;-0.3564;240.356;0.15;240;0.05;0
40.2538;-0.485443;240.485;0.15;240;0.05;0
40.3546;-0.601273;240.601;0.15;240;0.05;0
40.4572;-0.708481;240.708;0.15;240;0.05;0
40.5599;-0.805038;240.805;0.15;240;0.05;0
40.6614;-0.889374;240.889;0.15;240;0.05;0
40.7959;-0.984467;240.984;0.15;240;0.05;0
40.8983;-1.04407;241.044;0.15;240;0.05;0
41.0024;-1.09351;241.094;0.15;240;0.05;0
41.1047;-1.13142;241.131;0.15;240;0.05;0
41.2332;-1.16444;241.164;0.15;240;0.05;0
41.3597;-1.18182;241.182;0.15;240;0.05;0
41.4874;-1.18474;241.185;0.15;240;0.05;0
41.5905;-1.17705;241.177;0.15;240;0.05;0
41.6921;-1.1611;241.161;0.15;240;0.05;0
41.7955;-1.13673;241.137;0.15;240;0.05;0
41.9021;-1.10355;241.104;0.15;240;0.05;0
42.0305;-1.05336;241.053;0.15;240;0.05;0
42.1614;-0.991486;240.991;0.15;240;0.05;0
42.2632;-0.936462;240.936;0.15;240;0.05;0
42.3937;-0.857788;240.858;0.15;240;0.05;0
42.4944;-0.791245;240.791;0.15;240;0.05;0
42.6239;-0.698639;240.699;0.15;240;0.05;0
42.7557;-0.597168;240.597;0.15;240;0.05;0
42.8567;-0.514786;240.515;0.15;240;0.05;0
42.9579;-0.42868;240.429;0.15;240;0.05;0
43.0605;-0.337784;240.338;0.15;240;0.05;0
43.1622;-0.244629;240.245;0.15;240;0.05;0
43.2925;-0.120972;240.121;0.15;240;0.05;0
43.4215;0.00567627;239.994;0.15;240;0.05;0
43.5507;0.136383;239.864;0.15;240;0.05;0
43.6779;0.268433;239.732;0.15;240;0.05;0
43.8041;0.402298;239.598;0.190804;240;0.05;0
43.9384;0.54744;239.453;0.241604;240;0.05;0
