Airframe: Cessna_CitationX
Kp: 0.1
Ki: 0
Kd: 0
tau: 0.025
limMin: 0.15
limMax: 0.75
intLimMin: 0.05
intLimMax: 0.5
holdSpeed: 240
T: 0.025
setpoint: 240
t;error;speed;out;setpoint;Int;Diff
0.138153;40.2074;199.793;0.75;240;0.05;0
0.243927;40.2132;199.787;0.75;240;0.05;0
0.34787;40.2188;199.781;0.75;240;0.05;0
0.450867;40.2243;199.776;0.75;240;0.05;0
0.556061;40.2296;199.77;0.75;240;0.05;0
0.661316;40.2343;199.766;0.75;240;0.05;0
0.763245;40.2377;199.762;0.75;240;0.05;0
0.864136;40.2397;199.76;0.75;240;0.05;0
0.996826;40.2397;199.76;0.75;240;0.05;0
1.12833;40.2359;199.764;0.75;240;0.05;0
1.22855;40.2302;199.77;0.75;240;0.05;0
1.33029;40.2218;199.778;0.75;240;0.05;0
1.43164;40.2106;199.789;0.75;240;0.05;0
1.53842;40.1956;199.804;0.75;240;0.05;0
1.6423;40.1779;199.822;0.75;240;0.05;0
1.7767;40.15;199.85;0.75;240;0.05;0
1.88232;40.1242;199.876;0.75;240;0.05;0
1.98373;40.0962;199.904;0.75;240;0.05;0
2.08786;40.0642;199.936;0.75;240;0.05;0
2.20331;40.0246;199.975;0.75;240;0.05;0
2.30664;39.9857;200.014;0.75;240;0.05;0
2.43759;39.9319;200.068;0.75;240;0.05;0
2.53857;39.8868;200.113;0.75;240;0.05;0
2.67026;39.8237;200.176;0.75;240;0.05;0
2.78632;39.7639;200.236;0.75;240;0.05;0
2.91318;39.6945;200.306;0.75;240;0.05;0
3.03778;39.6221;200.378;0.75;240;0.05;0
3.14813;39.5548;200.445;0.75;240;0.05;0
3.26566;39.4798;200.52;0.75;240;0.05;0
3.38947;39.3973;200.603;0.75;240;0.05;0
3.49728;39.3226;200.677;0.75;240;0.05;0
3.60211;39.2476;200.752;0.75;240;0.05;0
3.71204;39.1667;200.833;0.75;240;0.05;0
3.81635;39.0876;200.912;0.75;240;0.05;0
3.93079;38.9986;201.001;0.75;240;0.05;0
4.05582;38.8988;201.101;0.75;240;0.05;0
4.18204;38.7954;201.205;0.75;240;0.05;0
4.29535;38.7003;201.3;0.75;240;0.05;0
4.39594;38.6143;201.386;0.75;240;0.05;0
4.52835;38.4991;201.501;0.75;240;0.05;0
4.66049;38.3819;201.618;0.75;240;0.05;0
4.76248;38.2901;201.71;0.75;240;0.05;0
4.86658;38.1953;201.805;0.75;240;0.05;0
4.99921;38.0728;201.927;0.75;240;0.05;0
5.09937;37.9792;202.021;0.75;240;0.05;0
5.22964;37.8562;202.144;0.75;240;0.05;0
5.36188;37.73;202.27;0.75;240;0.05;0
5.4928;37.6038;202.396;0.75;240;0.05;0
5.59521;37.5043;202.496;0.75;240;0.05;0
5.69727;37.4045;202.596;0.75;240;0.05;0
5.828;37.2759;202.724;0.75;240;0.05;0
5.95874;37.1462;202.854;0.75;240;0.05;0
6.09073;37.0146;202.985;0.75;240;0.05;0
6.22058;36.8845;203.115;0.75;240;0.05;0
6.35117;36.7532;203.247;0.75;240;0.05;0
6.4826;36.6204;203.38;0.75;240;0.05;0
6.58441;36.5172;203.483;0.75;240;0.05;0
6.69086;36.4089;203.591;0.75;240;0.05;0
6.79361;36.3043;203.696;0.75;240;0.05;0
6.89563;36.2002;203.8;0.75;240;0.05;0
6.99573;36.0979;203.902;0.75;240;0.05;0
7.12421;35.9663;204.034;0.75;240;0.05;0
7.22537;35.8627;204.137;0.75;240;0.05;0
7.32996;35.7554;204.245;0.75;240;0.05;0
7.43347;35.6492;204.351;0.75;240;0.05;0
7.53629;35.5435;204.456;0.75;240;0.05;0
7.64481;35.432;204.568;0.75;240;0.05;0
7.74683;35.3271;204.673;0.75;240;0.05;0
7.88089;35.1893;204.811;0.75;240;0.05;0
7.99167;35.0754;204.925;0.75;240;0.05;0
8.09204;34.9723;205.028;0.75;240;0.05;0
8.21878;34.8423;205.158;0.75;240;0.05;0
8.3334;34.7247;205.275;0.75;240;0.05;0
8.44382;34.6116;205.388;0.75;240;0.05;0
8.54944;34.5035;205.497;0.75;240;0.05;0
8.68018;34.3696;205.63;0.75;240;0.05;0
8.7861;34.2613;205.739;0.75;240;0.05;0
8.91391;34.1306;205.869;0.75;240;0.05;0
9.01657;34.0257;205.974;0.75;240;0.05;0
9.12128;33.9188;206.081;0.75;240;0.05;0
9.22342;33.8146;206.185;0.75;240;0.05;0
9.32687;33.7093;206.291;0.75;240;0.05;0
9.42966;33.6047;206.395;0.75;240;0.05;0
9.53345;33.4991;206.501;0.75;240;0.05;0
9.63641;33.3945;206.605;0.75;240;0.05;0
9.7702;33.2586;206.741;0.75;240;0.05;0
9.87695;33.1504;206.85;0.75;240;0.05;0
9.98813;33.0376;206.962;0.75;240;0.05;0
10.1045;32.9196;207.08;0.75;240;0.05;0
10.2097;32.8129;207.187;0.75;240;0.05;0
10.3109;32.7106;207.289;0.75;240;0.05;0
