Kp: 2
Ki: 0
Kd: 0
tau: 0.025
limMin: 0.25
limMax: 0.75
intLimMin: 0.25
intLimMax: 0.5
holdSpeed: 245
T: 0.05
setpoint: 245
t;error;speed;out;setpoint
0.159668;17.0984;227.902;0.95;245
0.26416;17.1047;227.895;0.95;245
0.365723;17.1105;227.889;0.95;245
0.476562;17.1168;227.883;0.95;245
0.584961;17.1221;227.878;0.95;245
0.692383;17.1261;227.874;0.95;245
0.800293;17.1278;227.872;0.95;245
0.958496;17.1242;227.876;0.95;245
1.07617;17.1149;227.885;0.95;245
1.17773;17.1012;227.899;0.95;245
1.2832;17.0808;227.919;0.95;245
1.39014;17.0526;227.947;0.95;245
1.50195;17.014;227.986;0.95;245
1.61279;16.9659;228.034;0.95;245
1.72168;16.9083;228.092;0.95;245
1.83252;16.8383;228.162;0.95;245
1.93945;16.7595;228.241;0.95;245
2.04883;16.6668;228.333;0.95;245
2.15869;16.5617;228.438;0.95;245
2.26953;16.4418;228.558;0.95;245
2.37988;16.3091;228.691;0.95;245
2.49365;16.1588;228.841;0.95;245
2.60059;16.005;228.995;0.95;245
2.71045;15.8331;229.167;0.95;245
2.82178;15.6463;229.354;0.95;245
2.93115;15.4494;229.551;0.95;245
3.04053;15.2396;229.76;0.95;245
3.15088;15.0156;229.984;0.95;245
3.26025;14.782;230.218;0.75;245
3.37012;14.535;230.465;0.75;245
3.4751;14.2876;230.712;0.75;245
3.58057;14.0299;230.97;0.75;245
3.69092;13.7499;231.25;0.75;245
3.80176;13.4609;231.539;0.75;245
3.91309;13.164;231.836;0.75;245
4.01709;12.8842;232.116;0.75;245
4.12207;12.5995;232.4;0.75;245
4.23291;12.299;232.701;0.75;245
4.34375;12.0011;232.999;0.75;245
4.45459;11.7063;233.294;0.75;245
4.56396;11.421;233.579;0.75;245
4.67236;11.1438;233.856;0.75;245
4.78223;10.8704;234.13;0.75;245
4.89062;10.6064;234.394;0.75;245
5.00098;10.3454;234.655;0.75;245
5.11035;10.0959;234.904;0.75;245
5.22021;9.85158;235.148;0.75;245
5.32959;9.61719;235.383;0.75;245
5.43994;9.38855;235.611;0.75;245
5.55127;9.16579;235.834;0.75;245
5.66357;8.9492;236.051;0.75;245
5.77344;8.74434;236.256;0.75;245
5.88525;8.54446;236.456;0.75;245
5.99316;8.35747;236.643;0.75;245
6.10352;8.17288;236.827;0.75;245
6.21338;7.99583;237.004;0.75;245
6.32373;7.82439;237.176;0.75;245
6.43359;7.65868;237.341;0.75;245
6.54199;7.50082;237.499;0.75;245
6.65137;7.34647;237.654;0.75;245
6.76074;7.19716;237.803;0.75;245
6.87061;7.0515;237.949;0.75;245
6.98096;6.90988;238.09;0.75;245
7.09082;6.77214;238.228;0.75;245
7.20166;6.63765;238.362;0.75;245
7.31104;6.5081;238.492;0.75;245
7.42188;6.38081;238.619;0.75;245
7.53223;6.25655;238.743;0.75;245
7.64258;6.13495;238.865;0.75;245
7.75244;6.01663;238.983;0.75;245
7.86279;5.90083;239.099;0.75;245
7.97217;5.78777;239.212;0.75;245
8.08057;5.67809;239.322;0.75;245
8.18945;5.56966;239.43;0.75;245
8.29883;5.46245;239.538;0.75;245
8.40771;5.35748;239.643;0.75;245
8.52295;5.2478;239.752;0.75;245
8.63281;5.14479;239.855;0.75;245
8.74268;5.04271;239.957;0.75;245
8.85254;4.94193;240.058;0.625;245
8.96338;4.84137;240.159;0.625;245
9.07227;4.74359;240.256;0.625;245
9.18213;4.64522;240.355;0.625;245
9.29248;4.54799;240.452;0.625;245
9.40576;4.44881;240.551;0.625;245
9.51367;4.35533;240.645;0.625;245
9.62207;4.26256;240.737;0.625;245
9.73291;4.1694;240.831;0.625;245
9.84082;4.08026;240.92;0.625;245
9.95117;3.99103;241.009;0.625;245
10.0605;3.90433;241.096;0.625;245
10.1714;3.81822;241.182;0.625;245
10.2808;3.73512;241.265;0.625;245
10.3911;3.65334;241.347;0.625;245
10.501;3.57408;241.426;0.625;245
10.6113;3.49625;241.504;0.625;245
10.7212;3.42072;241.579;0.625;245
10.8325;3.34619;241.654;0.625;245
10.9419;3.27452;241.725;0.625;245
11.0518;3.20445;241.796;0.625;245
11.1606;3.1367;241.863;0.625;245
11.2695;3.07036;241.93;0.625;245
11.3794;3.00487;241.995;0.625;245
11.4878;2.94133;242.059;0.625;245
11.6001;2.87711;242.123;0.625;245
11.7109;2.81506;242.185;0.625;245
11.8218;2.75421;242.246;0.625;245
11.9307;2.69518;242.305;0.625;245
12.0415;2.63615;242.364;0.625;245
12.1514;2.57838;242.422;0.625;245
12.2622;2.52098;242.479;0.625;245
12.3735;2.46429;242.536;0.625;245
12.4834;2.40868;242.591;0.625;245
12.5923;2.35411;242.646;0.625;245
12.7036;2.29901;242.701;0.625;245
12.8115;2.246;242.754;0.625;245
12.9268;2.18968;242.81;0.625;245
13.0322;2.13844;242.862;0.625;245
13.1426;2.0849;242.915;0.625;245
13.252;2.03235;242.968;0.625;245
13.3623;1.97917;243.021;0.625;245
13.4741;1.92578;243.074;0.625;245
13.5854;1.87244;243.128;0.625;245
13.6958;1.81956;243.18;0.625;245
13.8066;1.76656;243.233;0.625;245
13.9175;1.71376;243.286;0.625;245
14.0283;1.66071;243.339;0.625;245
14.1377;1.6084;243.392;0.625;245
14.2471;1.55576;243.444;0.625;245
14.3564;1.50322;243.497;0.625;245
14.4658;1.45061;243.549;0.625;245
14.5762;1.39734;243.603;0.625;245
14.686;1.34428;243.656;0.625;245
14.7979;1.28975;243.71;0.625;245
14.9077;1.23636;243.764;0.625;245
15.0205;1.18106;243.819;0.625;245
15.1284;1.12827;243.872;0.625;245
15.2378;1.07448;243.926;0.625;245
15.3477;1.0201;243.98;0.625;245
15.4595;0.964767;244.035;0.625;245
15.5693;0.910309;244.09;0.625;245
15.6812;0.854782;244.145;0.625;245
15.7905;0.800125;244.2;0.625;245
15.8999;0.745331;244.255;0.625;245
16.0093;0.69046;244.31;0.625;245
16.1187;0.635452;244.365;0.625;245
16.2305;0.579117;244.421;0.625;245
16.3408;0.523178;244.477;0.625;245
16.4507;0.467407;244.533;0.625;245
16.5605;0.411453;244.589;0.625;245
16.6719;0.354797;244.645;0.625;245
16.7827;0.298172;244.702;0.625;245
16.8936;0.241333;244.759;0.625;245
17.0049;0.184235;244.816;0.618469;245
17.1152;0.127777;244.872;0.505554;245
17.2256;0.071106;244.929;0.392212;245
17.3354;0.0144348;244.986;0.27887;245
17.4458;-0.0420685;245.042;0.165863;245
17.5557;-0.0980377;245.098;0.0539246;245
17.6675;-0.154434;245.154;0;245
17.7783;-0.209213;245.209;0;245
17.8892;-0.262222;245.262;0;245
18.001;-0.313232;245.313;0;245
18.1113;-0.360352;245.36;0;245
18.2217;-0.403137;245.403;0;245
18.3315;-0.440842;245.441;0;245
18.4424;-0.473145;245.473;0;245
18.5537;-0.499207;245.499;0;245
18.6646;-0.518158;245.518;0;245
18.7749;-0.529724;245.53;0;245
18.8848;-0.533737;245.534;0;245
18.9946;-0.529816;245.53;0;245
19.1045;-0.517792;245.518;0;245
19.2148;-0.497528;245.498;0;245
19.3247;-0.469315;245.469;0;245
