Kp: 10
Ki: 0
Kd: 0
tau: 0.025
limMin: 0.25
limMax: 0.75
intLimMin: 0.25
intLimMax: 0.5
holdSpeed: 245
T: 0.05
setpoint: 245
t;error;speed;out;setpoint
0.15918;21.2088;223.791;0.95;245
0.265137;21.2013;223.799;0.95;245
0.371094;21.1938;223.806;0.95;245
0.477539;21.186;223.814;0.95;245
0.583008;21.1778;223.822;0.95;245
0.695801;21.1675;223.833;0.95;245
0.80127;21.1556;223.844;0.95;245
0.904785;21.1409;223.859;0.95;245
1.0083;21.1223;223.878;0.95;245
1.11377;21.098;223.902;0.95;245
1.21582;21.0685;223.931;0.95;245
1.31836;21.0326;223.967;0.95;245
1.42285;20.9884;224.012;0.95;245
1.52979;20.9345;224.066;0.95;245
1.63623;20.8713;224.129;0.95;245
1.74023;20.7998;224.2;0.95;245
1.84814;20.7151;224.285;0.95;245
1.95459;20.6205;224.379;0.95;245
2.06396;20.5113;224.489;0.95;245
2.17285;20.3897;224.61;0.95;245
2.27979;20.2583;224.742;0.95;245
2.38477;20.1178;224.882;0.95;245
2.49268;19.9606;225.039;0.95;245
2.6001;19.792;225.208;0.95;245
2.71045;19.6059;225.394;0.95;245
2.81934;19.4099;225.59;0.95;245
2.92676;19.2039;225.796;0.95;245
3.03662;18.9817;226.018;0.95;245
3.14648;18.7474;226.253;0.95;245
3.25537;18.502;226.498;0.95;245
3.36621;18.2419;226.758;0.95;245
3.47705;17.9711;227.029;0.95;245
3.58643;17.6917;227.308;0.95;245
3.69727;17.3988;227.601;0.95;245
3.80518;17.1034;227.897;0.95;245
3.95215;16.6823;228.318;0.95;245
4.06104;16.3622;228.638;0.95;245
4.17285;16.0247;228.975;0.95;245
4.28271;15.6832;229.317;0.95;245
4.39258;15.3346;229.665;0.95;245
4.50244;14.9776;230.022;0.95;245
4.61182;14.614;230.386;0.75;245
4.72217;14.2407;230.759;0.75;245
4.83398;13.8559;231.144;0.75;245
4.94336;13.4731;231.527;0.75;245
5.0542;13.0796;231.92;0.75;245
5.16357;12.6904;232.31;0.75;245
5.27393;12.2975;232.703;0.75;245
5.38281;11.9118;233.088;0.75;245
5.49219;11.5302;233.47;0.75;245
5.60205;11.1542;233.846;0.75;245
5.70996;10.7924;234.208;0.75;245
5.82129;10.4302;234.57;0.75;245
5.9292;10.0892;234.911;0.75;245
6.04053;9.74942;235.251;0.75;245
6.15137;9.42441;235.576;0.75;245
6.26221;9.11128;235.889;0.75;245
6.37207;8.81326;236.187;0.75;245
6.48193;8.52769;236.472;0.75;245
6.59229;8.25352;236.746;0.75;245
6.70215;7.9928;237.007;0.75;245
6.8125;7.74194;237.258;0.75;245
6.92334;7.50128;237.499;0.75;245
7.03174;7.27602;237.724;0.75;245
7.14014;7.0619;237.938;0.75;245
7.24951;6.8546;238.145;0.75;245
7.35889;6.657;238.343;0.75;245
7.46729;6.47038;238.53;0.75;245
7.57715;6.28893;238.711;0.75;245
7.68701;6.11447;238.886;0.75;245
7.79736;5.94759;239.052;0.75;245
7.90771;5.78732;239.213;0.75;245
8.01904;5.63242;239.368;0.75;245
8.12988;5.48398;239.516;0.75;245
8.24121;5.34088;239.659;0.75;245
8.35059;5.20448;239.796;0.75;245
8.46094;5.07246;239.928;0.75;245
8.56934;4.94736;240.053;0.75;245
8.67822;4.82509;240.175;0.625;245
8.7876;4.70645;240.294;0.625;245
8.89697;4.59081;240.409;0.625;245
9.00586;4.47917;240.521;0.625;245
9.11572;4.36919;240.631;0.625;245
9.22461;4.26364;240.736;0.625;245
9.3374;4.15759;240.842;0.625;245
9.44482;4.05942;240.941;0.625;245
9.55469;3.96231;241.038;0.625;245
9.66455;3.86853;241.131;0.625;245
9.7749;3.77742;241.223;0.625;245
9.88428;3.69003;241.31;0.625;245
9.99561;3.60416;241.396;0.625;245
10.1064;3.52206;241.478;0.625;245
10.2158;3.44351;241.556;0.625;245
