Airframe: C90B
Kp: 0.3
Ki: 0
Kd: 0
tau: 0.025
limMin: 0.25
limMax: 0.765
intLimMin: 0.25
intLimMax: 0.5
holdSpeed: 180
T: 0.05
setpoint: 180
t;error;speed;out;setpoint
0.160156;25.2507;154.749;0.765;180
0.265503;25.2904;154.71;0.765;180
0.37085;25.3288;154.671;0.765;180
0.479858;25.3657;154.634;0.765;180
0.594116;25.3994;154.601;0.765;180
0.708374;25.4259;154.574;0.765;180
0.810303;25.4419;154.558;0.765;180
0.912109;25.4493;154.551;0.765;180
1.01257;25.4473;154.553;0.765;180
1.11841;25.4344;154.566;0.765;180
1.22363;25.4101;154.59;0.765;180
1.3291;25.3737;154.626;0.765;180
1.43567;25.3249;154.675;0.765;180
1.54175;25.264;154.736;0.765;180
1.64551;25.193;154.807;0.765;180
1.75012;25.1105;154.89;0.765;180
1.85388;25.0182;154.982;0.765;180
1.96252;24.9109;155.089;0.765;180
2.06848;24.7967;155.203;0.765;180
2.17639;24.6712;155.329;0.765;180
2.28442;24.5369;155.463;0.765;180
2.39148;24.3965;155.604;0.765;180
2.49792;24.25;155.75;0.765;180
2.60608;24.0951;155.905;0.765;180
2.70764;23.9449;156.055;0.765;180
2.81531;23.781;156.219;0.765;180
2.92456;23.6106;156.389;0.765;180
3.03931;23.4278;156.572;0.765;180
3.14832;23.251;156.749;0.765;180
3.25281;23.0795;156.92;0.765;180
3.35938;22.9026;157.097;0.765;180
3.46472;22.7266;157.273;0.765;180
3.56885;22.5517;157.448;0.765;180
3.67188;22.3778;157.622;0.765;180
3.77588;22.202;157.798;0.765;180
3.87854;22.0285;157.971;0.765;180
3.98621;21.8465;158.153;0.765;180
4.09937;21.6559;158.344;0.765;180
4.25513;21.3944;158.606;0.765;180
4.36975;21.203;158.797;0.765;180
4.47131;21.0342;158.966;0.765;180
4.58594;20.845;159.155;0.765;180
4.73547;20.6;159.4;0.765;180
4.84912;20.4155;159.585;0.765;180
4.95166;20.2504;159.75;0.765;180
5.05383;20.087;159.913;0.765;180
5.1582;19.9217;160.078;0.765;180
5.26196;19.7585;160.242;0.765;180
5.36719;19.5944;160.406;0.765;180
5.46912;19.4371;160.563;0.765;180
5.57776;19.271;160.729;0.765;180
5.68457;19.1093;160.891;0.765;180
5.79004;18.9516;161.048;0.765;180
5.896;18.7947;161.205;0.765;180
6.00354;18.637;161.363;0.765;180
6.11084;18.4814;161.519;0.765;180
6.22498;18.3174;161.683;0.765;180
6.33398;18.1624;161.838;0.765;180
6.43945;18.0139;161.986;0.765;180
6.54846;17.8618;162.138;0.765;180
6.65161;17.7191;162.281;0.765;180
6.75549;17.5767;162.423;0.765;180
6.86035;17.434;162.566;0.765;180
6.96436;17.2936;162.706;0.765;180
7.07227;17.149;162.851;0.765;180
7.1748;17.0126;162.987;0.765;180
7.27844;16.8758;163.124;0.765;180
7.39319;16.7251;163.275;0.765;180
7.49829;16.5878;163.412;0.765;180
7.60632;16.4478;163.552;0.765;180
7.76343;16.2454;163.755;0.765;180
7.87695;16.0998;163.9;0.765;180
7.98743;15.959;164.041;0.765;180
8.09412;15.8234;164.177;0.765;180
8.20837;15.6786;164.321;0.765;180
8.30933;15.5512;164.449;0.765;180
8.41052;15.4235;164.577;0.765;180
8.51965;15.2862;164.714;0.765;180
8.62427;15.1548;164.845;0.765;180
8.72961;15.0227;164.977;0.765;180
8.83289;14.8932;165.107;0.765;180
8.93787;14.7617;165.238;0.765;180
9.03967;14.6342;165.366;0.765;180
9.14319;14.5045;165.496;0.765;180
9.24683;14.3746;165.625;0.765;180
9.35388;14.2402;165.76;0.765;180
9.4613;14.1052;165.895;0.765;180
9.57556;13.9617;166.038;0.765;180
9.6853;13.8235;166.177;0.765;180
9.79102;13.6904;166.31;0.765;180
9.89539;13.5586;166.441;0.765;180
9.99768;13.4293;166.571;0.765;180
10.0988;13.3012;166.699;0.765;180
10.2128;13.1565;166.844;0.765;180
10.3263;13.0124;166.988;0.765;180
10.4357;12.873;167.127;0.765;180
10.5502;12.7268;167.273;0.765;180
10.661;12.5849;167.415;0.765;180
10.7651;12.4512;167.549;0.765;180
10.8705;12.3154;167.685;0.765;180
10.9812;12.1725;167.828;0.765;180
11.093;12.0275;167.972;0.765;180
11.1971;11.8918;168.108;0.765;180
11.3005;11.7565;168.244;0.765;180
11.4147;11.6064;168.394;0.765;180
11.5166;11.4717;168.528;0.765;180
11.6194;11.3353;168.665;0.765;180
11.7231;11.1969;168.803;0.765;180
11.8269;11.0576;168.942;0.765;180
11.9323;10.9155;169.085;0.765;180
12.0403;10.7689;169.231;0.765;180
12.1436;10.6277;169.372;0.765;180
12.2476;10.4848;169.515;0.765;180
12.3519;10.3406;169.659;0.765;180
12.4579;10.1931;169.807;0.765;180
12.5679;10.0388;169.961;0.765;180
12.6724;9.89163;170.108;0.765;180
12.7761;9.7446;170.255;0.765;180
12.8794;9.59706;170.403;0.765;180
12.9819;9.44983;170.55;0.765;180
13.1329;9.23123;170.769;0.765;180
13.2363;9.08047;170.92;0.765;180
13.3475;8.91719;171.083;0.765;180
13.4521;8.76309;171.237;0.765;180
13.5659;8.59427;171.406;0.765;180
13.6771;8.42804;171.572;0.765;180
13.7911;8.2571;171.743;0.765;180
13.8944;8.10126;171.899;0.765;180
13.9999;7.94135;172.059;0.765;180
14.1129;7.76912;172.231;0.765;180
14.2258;7.59641;172.404;0.765;180
14.3322;7.43295;172.567;0.765;180
14.4335;7.27657;172.723;0.765;180
14.5846;7.04208;172.958;0.765;180
14.6886;6.87988;173.12;0.765;180
14.7935;6.71565;173.284;0.765;180
14.8984;6.55095;173.449;0.765;180
15.0024;6.38702;173.613;0.765;180
15.1157;6.20795;173.792;0.765;180
15.23;6.0267;173.973;0.765;180
15.3385;5.85391;174.146;0.765;180
15.4437;5.68599;174.314;0.765;180
15.5483;5.51872;174.481;0.765;180
15.6527;5.35155;174.648;0.765;180
15.7561;5.18541;174.815;0.765;180
15.8597;5.01845;174.982;0.765;180
15.9633;4.85161;175.148;0.765;180
16.0709;4.6779;175.322;0.765;180
16.1863;4.49123;175.509;0.765;180
16.3005;4.3062;175.694;0.765;180
16.4084;4.13126;175.869;0.765;180
16.5087;3.96866;176.031;0.765;180
16.6233;3.78247;176.218;0.765;180
16.7303;3.60846;176.392;0.765;180
16.8429;3.42552;176.574;0.765;180
16.9517;3.24884;176.751;0.765;180
17.0575;3.07661;176.923;0.765;180
17.1669;2.89864;177.101;0.765;180
17.274;2.72433;177.276;0.765;180
17.3838;2.5457;177.454;0.765;180
17.494;2.36658;177.633;0.765;180
17.6008;2.1933;177.807;0.765;180
17.7097;2.01653;177.983;0.765;180
17.825;1.82977;178.17;0.765;180
17.9312;1.65787;178.342;0.74736;180
18.0382;1.48476;178.515;0.695427;180
18.1506;1.30328;178.697;0.640985;180
18.2542;1.1366;178.863;0.590979;180
18.3568;0.972183;179.028;0.541655;180
18.4619;0.80574;179.194;0.491722;180
18.5756;0.628586;179.371;0.438576;180
18.6891;0.456528;179.543;0.386958;180
18.7968;0.299194;179.701;0.339758;180
18.9001;0.15538;179.845;0.296614;180
19.011;0.010498;179.99;0.253149;180
19.1185;-0.119156;180.119;0.25;180
19.2332;-0.243805;180.244;0.25;180
